task_id	hash	name	process	status	exit	container	cpus	time	disk	memory	rss	%cpu	%mem	vmem	peak_rss	peak_vmem	submit	start	complete	duration	realtime	rchar	wchar	read_bytes	write_bytes	workdir
6	7f/3592fb	FILTER_READS (6)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	69.1%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.726	2023-11-21 13:51:59.753	2023-11-21 13:52:03.370	3.6s	1.5s	0	0	0	0	/root/pipeline_test/work/7f/3592fb6b986e89b028c94c8204744e
7	de/5459ad	FILTER_READS (7)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	49.9%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.762	2023-11-21 13:51:59.864	2023-11-21 13:52:03.514	3.8s	1.8s	0	0	0	0	/root/pipeline_test/work/de/5459ad068d4a5427048a2b7b4d8628
14	8f/804b70	FILTER_READS (14)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	50.2%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.707	2023-11-21 13:51:59.749	2023-11-21 13:52:03.525	3.8s	1.5s	0	0	0	0	/root/pipeline_test/work/8f/804b70b02ce75d0e7b5bc74ca79aa2
8	2b/7cf3ad	FILTER_READS (8)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	48.1%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.735	2023-11-21 13:51:59.753	2023-11-21 13:52:03.581	3.8s	1.9s	0	0	0	0	/root/pipeline_test/work/2b/7cf3ad61609e7a672e3dd3dc94d4e1
15	bf/b7b53d	FILTER_READS (15)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	45.0%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.800	2023-11-21 13:51:59.866	2023-11-21 13:52:03.689	3.9s	1.9s	0	0	0	0	/root/pipeline_test/work/bf/b7b53d51514278a237c277afdcce5b
5	43/23420e	FILTER_READS (5)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	56.8%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.890	2023-11-21 13:51:59.974	2023-11-21 13:52:03.719	3.8s	1.8s	0	0	0	0	/root/pipeline_test/work/43/23420ec98c8744f8298712874b70ac
4	f3/497050	FILTER_READS (4)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	50.9%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.718	2023-11-21 13:51:59.752	2023-11-21 13:52:03.753	4s	1.8s	0	0	0	0	/root/pipeline_test/work/f3/497050c4b4a078866f513ad45fb61e
1	24/033b63	FILTER_READS (1)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	72.4%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.752	2023-11-21 13:51:59.864	2023-11-21 13:52:03.773	4s	1.3s	0	0	0	0	/root/pipeline_test/work/24/033b6316c20060f84c12a11b3b7710
3	0d/1fe5da	FILTER_READS (3)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	56.3%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.773	2023-11-21 13:51:59.865	2023-11-21 13:52:03.783	4s	1.8s	0	0	0	0	/root/pipeline_test/work/0d/1fe5da005be78115caeec9794c2e87
12	36/e8b879	FILTER_READS (12)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	52.9%	0.0%	16.3 MB	0	0	2023-11-21 13:51:59.784	2023-11-21 13:51:59.865	2023-11-21 13:52:03.792	4s	1.7s	0	0	0	0	/root/pipeline_test/work/36/e8b879f2ca574149c57983452017f4
