task_id	hash	name	process	status	exit	container	cpus	time	disk	memory	rss	%cpu	%mem	vmem	peak_rss	peak_vmem	submit	start	complete	duration	realtime	rchar	wchar	read_bytes	write_bytes	workdir
16	37/c8518b	FILTER_READS (16)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	50.5%	0.0%	16.3 MB	0	0	2023-11-21 13:49:21.959	2023-11-21 13:49:22.003	2023-11-21 13:49:25.930	4s	1.7s	0	0	0	0	/root/pipeline_test/work/37/c8518b1110508b088eb556dc08f09c
12	a5/f43f5a	FILTER_READS (12)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	52.7%	0.0%	16.3 MB	0	0	2023-11-21 13:49:21.972	2023-11-21 13:49:22.004	2023-11-21 13:49:25.995	4s	1.7s	0	0	0	0	/root/pipeline_test/work/a5/f43f5aa730fa9aeef1bed7563d314e
8	96/22a99e	FILTER_READS (8)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	54.6%	0.0%	16.3 MB	0	0	2023-11-21 13:49:21.996	2023-11-21 13:49:22.117	2023-11-21 13:49:26.009	4s	1.7s	0	0	0	0	/root/pipeline_test/work/96/22a99e8c72bcc7a0f6acc085c21591
3	ed/f0bb06	FILTER_READS (3)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	67.3%	0.0%	16.3 MB	0	0	2023-11-21 13:49:22.009	2023-11-21 13:49:22.117	2023-11-21 13:49:26.017	4s	1.6s	0	0	0	0	/root/pipeline_test/work/ed/f0bb061254ed20d8952848eae7dc43
14	bd/eeef94	FILTER_READS (14)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	46.1%	0.0%	16.3 MB	0	0	2023-11-21 13:49:22.059	2023-11-21 13:49:22.223	2023-11-21 13:49:26.107	4s	1.7s	0	0	0	0	/root/pipeline_test/work/bd/eeef941cd19b885fd9b28499f0f534
9	c8/c9aa88	FILTER_READS (9)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	52.4%	0.0%	16.3 MB	0	0	2023-11-21 13:49:22.197	2023-11-21 13:49:22.332	2023-11-21 13:49:26.117	3.9s	1.9s	0	0	0	0	/root/pipeline_test/work/c8/c9aa88cba2c5d9bd84359c1bd9ee24
4	6c/26d7d5	FILTER_READS (4)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	45.3%	0.0%	16.3 MB	0	0	2023-11-21 13:49:21.945	2023-11-21 13:49:22.000	2023-11-21 13:49:26.130	4.2s	1.9s	0	0	0	0	/root/pipeline_test/work/6c/26d7d5bc5ff4cbbc1be53d61c2334c
15	cf/784610	FILTER_READS (15)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	47.9%	0.0%	16.3 MB	0	0	2023-11-21 13:49:22.047	2023-11-21 13:49:22.119	2023-11-21 13:49:26.150	4.1s	1.8s	0	0	0	0	/root/pipeline_test/work/cf/784610cfa054dc12c36f70a77d529d
7	19/6ff3a6	FILTER_READS (7)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	43.0%	0.0%	16.3 MB	0	0	2023-11-21 13:49:22.236	2023-11-21 13:49:22.442	2023-11-21 13:49:26.165	3.9s	2s	0	0	0	0	/root/pipeline_test/work/19/6ff3a667e35c876803c0ce2e054f10
2	bf/a26120	FILTER_READS (2)	FILTER_READS	COMPLETED	0	-	1	-	-	-	1.6 MB	54.9%	0.0%	16.3 MB	0	0	2023-11-21 13:49:22.019	2023-11-21 13:49:22.118	2023-11-21 13:49:26.186	4.2s	1.7s	0	0	0	0	/root/pipeline_test/work/bf/a26120aac2059dd2426ce37d2ef7a0
